ShopMemberId,NAPL_1,NAPL_2,NAPL_3
GhKK5xXtrl1ZjIyXUY7Qr5hRqMwkbLvwMFqEObZ2oeI=,R,R,A
BEE1QykNZUQ6VNPmnkoPv7Ry34rSi24eQAtlDacWUJc=,R,R,A
XJXKHR+cTo9cwinRalfkVOvshVhvNtw+SzZ5WPme5+0=,P,S,A
WRy4jrS8JIRXqYXZdybGv/w702dnGrxYQzcEgmfCzN8=,R,N,A
CHL7cDPUa1iy/mwfOokQOFQ/iCExGp/RpWr4xh/ZB5M=,S,L,A
L2rNAXMbQGWZZRlAIPutJT9941e26tmzRFmkFq9eNEQ=,R,R,A
JNpZO6eUNqYhk7B3nqOjVXzgQhpEH1ufRN/EYZ4XiZQ=,R,R,A
radxqz/DEhARlIbHonX0Pw+u99nzO2wmsb85LdeoCa4=,P,P,A
omyRErVYCtYFDT1xOlTATJX5wS2nnKmYA7gpQ6+ePfs=,S,S,A
2rnWNNMrJL998MIQszFU2WHZp6xh2EFEFC3uwjpOTL8=,A,S,A
fSFvF++5FUYHVUzSOkS5jjtK0NN1+n360Rs5XRrHGTU=,L,A,A
AAvMNP+g9wXfQLeBwuCPEMTNT0okZctiwnSaq0FQgKk=,S,S,A
hsbd3EVJ9ksXKrcM5kbMrQ9fiD83s5yJnP/s8/uLr+o=,R,R,A
mP9Tr2Br7aX5jBen8YCMWVF0tB0HDdXggUTDeW3Unz8=,R,R,A
89DkvUgEY3fLk6C+kJgIMtD74PAtP/wRfCT3DW9pETU=,L,S,A
nsjV+D1SMnzUiA4HIG7z6ZRKAkS9qCnaXalT+bylmjs=,R,R,A
wiqQwM0HecP1u9YnKoDSBsM9Yqz069TQW2YqTlqg2DA=,L,S,A
Mtuy7Bi0oMvwSZvYfqS6Ub88pbmqaHzfpmoljHsBTA0=,R,R,A
y4MoVOwk7cHKFQiWAck7bHE3LLciEhwhqnKzLVv/x+s=,R,R,A
dzpTR4UMOF7iCE/nvR182zidPiYeD6QyEHMQ7tVxr1Y=,P,S,A
BjLHNUrKaiOL5+RfJ+r1RqPLGp1X+ANWjyZUefdIwJo=,P,P,A
0LHJEBEmSxVIMbcQztky2YI9WzS+FSKlAU8P0JETpZE=,R,R,A
giCKMSLqPXxRX+K7PC+nrFXx/y7fYHxx/kRsZUxXc2s=,R,R,A
Z7glqNNLAUmX8tXN9sjV1lkYqyhHL6fuZgtUum5YsiM=,R,R,A
bDNsvtuO55ZSERHxs+40OgBpXyC1MSlrXgSiI0jAhUA=,R,R,A
uaTbYGQCUBqEeW/WvhfP/L8zYD4eb/xuiWBimmvrGb8=,A,A,A
gfl6CsDhY3c8BuVQS6sQ21RlQxvIHEfPh9vlOmqcLG4=,R,R,A
5H6YqAB7wWsrJbRbWkoNjcK6X1lXdqUoRNkRvzRJNiE=,L,P,A
Ug5r3gpKcUGGJhNhluvfXBmLUz/sz9mWVz5EbwWFNoE=,S,S,A
OEByrWbucZd3fZ+6xbyYTDj6Pr6lbF8He+BDgoUf85k=,R,N,A
ssUBzB9EKp8U9uDwXMV+KeMSetu/nBhAxdilGvvp5HU=,L,S,A
86p2srCVSksXl0hfeKDpNoRiv+iEZisG1P4qz+RbBqw=,P,A,A
7V5k61m790cCkgvjHusr2Fe5Ib3pt0pt9lP8YehZj3w=,R,L,A
Gjvw3CHPTAXi383JZDdkgi3rUwNOWSQHUQkpK+9b8os=,R,R,A
ufPd7MRd0LghrN84QtKIxayPYJeNj0NGCwNMmA8XzEA=,R,R,A
aKb5IsVng8prpAS0MXL96FE2JBiKjFw50gCq2bMseeE=,A,A,A
8RjcgkFrloEiOO0/wpRD7dyG1V+ZXBl6vSQJgMFb5nk=,R,L,A
BW8bf3uow6DEC2BxBW0Q6Nk4G8os1w9NxpRqSNMlwi4=,R,R,A
dGqW2Gcq81FDJ53BUBGwq4m32nqkRItpuAIdpfCJzj4=,N,P,A
O/89kf4puvjsY9qWslTYrRlYAjVq8x06IkUO3MP/3jw=,P,S,A
II66ZGEWWplkRNaYXnguDS2u7Nq9b6TrSg5Z4hNcSkE=,R,R,A
HSk9ugVyF42iKypn+LVZcQsQHr3HFMTeQyv1Sa6xcJ0=,L,S,A
b899o3V0vOMd6vdAyoghjQOhrz+oAlJf5jtUd8R81hU=,R,R,A
Izbv010JlmahbLTxQ6XYTY15HcxiLXqLZJH7DeFrL/k=,P,A,A
HDqLmR/9NIojmorLL+AgsuxtqkGBWcBF+Ei7bHyxwpU=,R,R,A
DL3DE40c0igUuvvMCjaBm7++6wLQxfRG4wcc6Z0GGy8=,R,R,A
d1v7tgh5XhArPXry3SsTPyMYJiaV7PYJ8MpivqQ8AKM=,R,L,A
OVwrdTYxhQX1YrhMvHOBLtIbfCxi7hwYrQPI2tIMX24=,R,L,A
YGiV8KICWvvNANdEWCewk3ZduSa+/LdCLYcdb1nLh3s=,A,P,A
QiI3fDKu2NdYOaySpiJrXGFso0yPfE5vPGUDbe23NFc=,P,S,A
+NtTLlQk372Pj3PGJiTSKGGN/s256dVOhL9onA1HJXc=,N,S,A
uToJTJWk+UUvTqeYeXiiwHryKQmmncs3CSh3e7C6kI8=,R,R,A
iFPvqXZRb/4YYWcZ6Un0ChppQqZrifQJbVwZTQFoj+g=,A,P,A
mxyB8CMgVEttz5P8kFSJbVeKaSxVx7+UG6e1gbY1kfw=,R,R,A
QtmMCPr09kgBQiqEx4slyRWd8yIcctc3+8hbVAiHx84=,R,R,A
vqCPamtRMiBTKE/SyNnp/M6A/q3+KAp3eFxdXUhdAEo=,R,L,A
b9k5ngNb4zGfSvsDPngAs/vea/5pT53YMG2X1gudXrw=,R,L,A
3wnUUswfuCqmhcUno4hgVWKH+YHofKQkkwlLqDDPBdU=,R,N,A
FTzzRD7H2bAVTxyu+qSEzbrNU0uHzzl933xmtqj/Bhc=,R,R,A
y7+KOpi9Fc7X5G+Mx/EikxBVWFhgUxy4pGGMu1GjhjA=,R,R,A
O7NgVWEVfH/xaTcvmZcFgQn8/JWwqaPsLlXxoDvy2cI=,A,A,A
i1jkAcdqSDFwVjoMWdd2c1VIJB92Wy/WFLbi6nvW7cY=,R,R,A
BdcDMwi5qRL0ZLw2BBlByMt93Z3nfUxxtXa+XgGYKT0=,A,S,A
pCu5Z6jRuZ1nm6j48PXR8DC1Il0oytn4rznUZ8cFu+w=,R,R,A
mfelKYrrw521mycBRZDvab2E+0UGWulXuoASlUxrSwI=,P,A,A
LI8jkyxX/7tpPh062CUTmmvSX+LnCQnPAAYWc6omVew=,P,S,A
gCvxjvIupdrus1PX3YnpQvvQA918wqbinj2RdquOLtY=,R,R,A
PaaupZMVcgjPFZ4b2+Tc9o3Qae0sKBEYyXTLaHQ8GSE=,L,S,A
zCtkpnXAkBAli+xUUBQGFS1c/fHAr0SoAj3gmId0dTU=,R,R,A
dMzlqaYF1Tt0rCv8uY7CUr+Thp6sjXsNdR8iYyb6LhM=,A,S,A
2Wnm02KdT+QaIBVHxsjjd25Lc9d5LeX60YsDaXhR000=,P,S,A
5bbv+a6ChFXRabe3Bvlva+dFSS8eRl4vp6t96OqiU+k=,R,R,A
q3bPYz69ezGLEw9PJ2TtZ9mtnWs2FItmTDKzBae+qQQ=,S,S,A
kmcTreP5kh1wOU6l8/p9IY59iGNClXV1OsFwBv+d+zE=,L,A,A
aiI3poTV9IaS4Oue+MWVwUJK6QLXqmo/sxgwa5vyVLg=,A,P,A
