term,freq,source,length,is_onechar,is_english,is_number,is_special,is_punctuation
的,27380,both,1,True,False,False,False,False
不,12792,both,1,True,False,False,False,False
肌膚,10047,both,2,False,False,False,False,False
ml,9893,both,2,False,True,False,False,False
可,9856,both,1,True,False,False,False,False
直送,8207,both,2,False,False,False,False,False
廠商,8203,both,2,False,False,False,False,False
設計,7860,both,2,False,False,False,False,False
g,7826,both,1,True,True,False,False,False
多,7532,both,1,True,False,False,False,False
入,6999,both,1,True,False,False,False,False
任選,6906,both,2,False,False,False,False,False
一,6495,both,1,True,False,False,False,False
使用,5909,both,2,False,False,False,False,False
好,5561,both,1,True,False,False,False,False
添加,5432,both,2,False,False,False,False,False
保濕,5312,both,2,False,False,False,False,False
款,4944,both,1,True,False,False,False,False
無,4905,both,1,True,False,False,False,False
與,4813,both,1,True,False,False,False,False
舒適,4720,both,2,False,False,False,False,False
及,4406,both,1,True,False,False,False,False
更,4234,both,1,True,False,False,False,False
贈品,4136,both,2,False,False,False,False,False
能,4008,both,1,True,False,False,False,False
成分,3784,both,2,False,False,False,False,False
讓,3575,both,1,True,False,False,False,False
+,3558,both,1,True,False,False,True,False
種,3500,both,1,True,False,False,False,False
cm,3373,both,2,False,True,False,False,False
超,3270,both,1,True,False,False,False,False
色,3238,both,1,True,False,False,False,False
配方,3236,both,2,False,False,False,False,False
日本,3130,both,2,False,False,False,False,False
和,3126,both,1,True,False,False,False,False
高,3090,both,1,True,False,False,False,False
含,3002,both,1,True,False,False,False,False
修護,2983,both,2,False,False,False,False,False
小,2920,both,1,True,False,False,False,False
造型,2903,both,2,False,False,False,False,False
精華,2853,both,2,False,False,False,False,False
材質,2824,both,2,False,False,False,False,False
有,2779,both,1,True,False,False,False,False
天然,2749,both,2,False,False,False,False,False
用,2733,both,1,True,False,False,False,False
後,2687,both,1,True,False,False,False,False
輕鬆,2687,both,2,False,False,False,False,False
方便,2655,both,2,False,False,False,False,False
最,2608,both,1,True,False,False,False,False
大,2584,both,1,True,False,False,False,False
於,2562,both,1,True,False,False,False,False
台灣,2525,both,2,False,False,False,False,False
柔軟,2424,both,2,False,False,False,False,False
不易,2415,both,2,False,False,False,False,False
有效,2399,both,2,False,False,False,False,False
兩,2383,both,1,True,False,False,False,False
也,2360,both,1,True,False,False,False,False
贈,2315,both,1,True,False,False,False,False
等,2292,both,1,True,False,False,False,False
搭配,2273,both,2,False,False,False,False,False
全,2262,both,1,True,False,False,False,False
溫和,2179,both,2,False,False,False,False,False
中,2155,both,1,True,False,False,False,False
適用,2116,both,2,False,False,False,False,False
細緻,2069,both,2,False,False,False,False,False
清潔,2064,both,2,False,False,False,False,False
彈性,2030,both,2,False,False,False,False,False
在,2020,both,1,True,False,False,False,False
舒緩,2016,both,2,False,False,False,False,False
健康,1999,both,2,False,False,False,False,False
安全,1996,both,2,False,False,False,False,False
為,1972,both,1,True,False,False,False,False
完美,1968,both,2,False,False,False,False,False
萃取,1942,both,2,False,False,False,False,False
自然,1870,both,2,False,False,False,False,False
上,1869,both,1,True,False,False,False,False
系列,1867,both,2,False,False,False,False,False
清爽,1851,both,2,False,False,False,False,False
效果,1816,both,2,False,False,False,False,False
三,1807,both,1,True,False,False,False,False
是,1776,both,1,True,False,False,False,False
快速,1766,both,2,False,False,False,False,False
極,1754,both,1,True,False,False,False,False
安心,1748,both,2,False,False,False,False,False
都,1744,both,1,True,False,False,False,False
$,1736,both,1,True,False,False,True,False
打造,1723,both,2,False,False,False,False,False
抗菌,1702,both,2,False,False,False,False,False
新,1695,both,1,True,False,False,False,False
可愛,1691,both,2,False,False,False,False,False
收納,1686,both,2,False,False,False,False,False
你,1683,both,1,True,False,False,False,False
片,1672,both,1,True,False,False,False,False
x,1650,both,1,True,True,False,False,False
透氣,1647,both,2,False,False,False,False,False
纖維,1633,both,2,False,False,False,False,False
適合,1631,both,2,False,False,False,False,False
包,1588,both,1,True,False,False,False,False
隨機,1584,both,2,False,False,False,False,False
除,1583,both,1,True,False,False,False,False
~,1577,both,1,True,False,False,True,False
香氛,1574,both,2,False,False,False,False,False
將,1560,both,1,True,False,False,False,False
採用,1553,both,2,False,False,False,False,False
每,1552,both,1,True,False,False,False,False
並,1543,both,1,True,False,False,False,False
韓國,1537,both,2,False,False,False,False,False
玻尿酸,1533,both,3,False,False,False,False,False
待,1527,both,1,True,False,False,False,False
去,1524,both,1,True,False,False,False,False
提升,1503,both,2,False,False,False,False,False
雙,1502,both,1,True,False,False,False,False
出貨,1492,both,2,False,False,False,False,False
深層,1488,both,2,False,False,False,False,False
之,1481,both,1,True,False,False,False,False
專利,1479,both,2,False,False,False,False,False
同時,1479,both,2,False,False,False,False,False
技術,1468,both,2,False,False,False,False,False
製造,1457,both,2,False,False,False,False,False
保護,1442,both,2,False,False,False,False,False
刪除,1441,both,2,False,False,False,False,False
品質,1434,both,2,False,False,False,False,False
毛孔,1431,both,2,False,False,False,False,False
吸收,1428,both,2,False,False,False,False,False
夾,1426,both,1,True,False,False,False,False
或,1417,both,1,True,False,False,False,False
頭皮,1410,both,2,False,False,False,False,False
包裝,1407,both,2,False,False,False,False,False
攜帶,1392,both,2,False,False,False,False,False
經典,1378,both,2,False,False,False,False,False
時尚,1366,both,2,False,False,False,False,False
清新,1364,both,2,False,False,False,False,False
維持,1357,both,2,False,False,False,False,False
使,1347,both,1,True,False,False,False,False
滋潤,1346,both,2,False,False,False,False,False
又,1342,both,1,True,False,False,False,False
b,1338,both,1,True,True,False,False,False
面膜,1331,both,2,False,False,False,False,False
黑,1314,both,1,True,False,False,False,False
刷,1313,both,1,True,False,False,False,False
內,1299,both,1,True,False,False,False,False
露,1289,both,1,True,False,False,False,False
乾燥,1279,both,2,False,False,False,False,False
c,1279,both,1,True,True,False,False,False
佳,1275,both,1,True,False,False,False,False
點,1264,both,1,True,False,False,False,False
水,1245,both,1,True,False,False,False,False
秀髮,1241,both,2,False,False,False,False,False
幫助,1240,both,2,False,False,False,False,False
立體,1235,both,2,False,False,False,False,False
商品,1220,both,2,False,False,False,False,False
各,1212,both,1,True,False,False,False,False
植物,1207,both,2,False,False,False,False,False
次,1203,both,1,True,False,False,False,False
蛋白,1202,both,2,False,False,False,False,False
穿,1186,both,1,True,False,False,False,False
刺激,1186,both,2,False,False,False,False,False
潔淨,1184,both,2,False,False,False,False,False
質感,1183,both,2,False,False,False,False,False
光澤,1175,both,2,False,False,False,False,False
著,1165,both,1,True,False,False,False,False
功能,1162,both,2,False,False,False,False,False
以,1153,both,1,True,False,False,False,False
a,1153,both,1,True,True,False,False,False
獨家,1150,both,2,False,False,False,False,False
滿,1146,both,1,True,False,False,False,False
防水,1146,both,2,False,False,False,False,False
親膚,1141,both,2,False,False,False,False,False
抗,1124,both,1,True,False,False,False,False
觸感,1121,both,2,False,False,False,False,False
倍,1113,both,1,True,False,False,False,False
尺寸,1112,both,2,False,False,False,False,False
獨特,1111,both,2,False,False,False,False,False
孩子,1111,both,2,False,False,False,False,False
嚴選,1108,both,2,False,False,False,False,False
進口,1107,both,2,False,False,False,False,False
洗,1105,both,1,True,False,False,False,False
簡單,1093,both,2,False,False,False,False,False
精油,1093,both,2,False,False,False,False,False
維他命,1078,both,3,False,False,False,False,False
限時,1077,both,2,False,False,False,False,False
充電,1074,both,2,False,False,False,False,False
顏色,1071,both,2,False,False,False,False,False
即,1071,both,1,True,False,False,False,False
層,1067,both,1,True,False,False,False,False
環保,1065,both,2,False,False,False,False,False
回饋,1065,both,2,False,False,False,False,False
防曬,1062,both,2,False,False,False,False,False
認證,1056,both,2,False,False,False,False,False
入點,1053,both,2,False,False,False,False,False
可以,1050,both,2,False,False,False,False,False
玫瑰,1044,both,2,False,False,False,False,False
個,1042,both,1,True,False,False,False,False
天,1040,both,1,True,False,False,False,False
長,1032,both,1,True,False,False,False,False
皆,1031,both,1,True,False,False,False,False
香氣,1031,both,2,False,False,False,False,False
升級,1027,both,2,False,False,False,False,False
質地,1018,both,2,False,False,False,False,False
而,1017,both,1,True,False,False,False,False
人,1016,both,1,True,False,False,False,False
時,1010,both,1,True,False,False,False,False
品牌,1009,both,2,False,False,False,False,False
減少,1008,both,2,False,False,False,False,False
底,1008,both,1,True,False,False,False,False
產品,997,both,2,False,False,False,False,False
彈力,994,both,2,False,False,False,False,False
潤澤,983,both,2,False,False,False,False,False
就,979,both,1,True,False,False,False,False
呵護,977,both,2,False,False,False,False,False
空間,976,both,2,False,False,False,False,False
髮絲,973,both,2,False,False,False,False,False
d,971,both,1,True,True,False,False,False
輕盈,968,both,2,False,False,False,False,False
我,968,both,1,True,False,False,False,False
改善,961,both,2,False,False,False,False,False
肌,960,both,1,True,False,False,False,False
口感,952,both,2,False,False,False,False,False
科技,945,both,2,False,False,False,False,False
水潤,941,both,2,False,False,False,False,False
耐用,940,both,2,False,False,False,False,False
自動,938,both,2,False,False,False,False,False
毛,927,both,1,True,False,False,False,False
柔順,906,both,2,False,False,False,False,False
調理,905,both,2,False,False,False,False,False
豐富,901,both,2,False,False,False,False,False
般,901,both,1,True,False,False,False,False
保養,901,both,2,False,False,False,False,False
度,900,both,1,True,False,False,False,False
高效,897,both,2,False,False,False,False,False
長效,885,both,2,False,False,False,False,False
享受,884,both,2,False,False,False,False,False
角質,883,both,2,False,False,False,False,False
持,880,both,1,True,False,False,False,False
通過,877,both,2,False,False,False,False,False
●,876,both,1,True,False,False,True,False
組,870,both,1,True,False,False,False,False
再,865,both,1,True,False,False,False,False
瓶,855,both,1,True,False,False,False,False
您,854,both,1,True,False,False,False,False
口罩,851,both,2,False,False,False,False,False
皮膚,844,both,2,False,False,False,False,False
m,843,both,1,True,True,False,False,False
風味,841,both,2,False,False,False,False,False
件,837,both,1,True,False,False,False,False
對,835,both,1,True,False,False,False,False
q,833,both,1,True,True,False,False,False
包覆,833,both,2,False,False,False,False,False
滋養,831,both,2,False,False,False,False,False
愛,824,both,1,True,False,False,False,False
頭髮,820,both,2,False,False,False,False,False
粉,820,both,1,True,False,False,False,False
約,814,both,1,True,False,False,False,False
預防,810,both,2,False,False,False,False,False
保暖,809,both,2,False,False,False,False,False
生活,808,both,2,False,False,False,False,False
加,806,both,1,True,False,False,False,False
平衡,803,both,2,False,False,False,False,False
輕巧,803,both,2,False,False,False,False,False
色素,801,both,2,False,False,False,False,False
防護,800,both,2,False,False,False,False,False
跟,800,both,1,True,False,False,False,False
有機,799,both,2,False,False,False,False,False
地,795,both,1,True,False,False,False,False
巧克力,795,both,3,False,False,False,False,False
調整,794,both,2,False,False,False,False,False
補充,793,both,2,False,False,False,False,False
顆,792,both,1,True,False,False,False,False
酒精,790,both,2,False,False,False,False,False
防止,786,both,2,False,False,False,False,False
測試,785,both,2,False,False,False,False,False
洗淨,782,both,2,False,False,False,False,False
衣物,782,both,2,False,False,False,False,False
貼合,781,both,2,False,False,False,False,False
服貼,777,both,2,False,False,False,False,False
